"Country","Manufacturer","Commercial_Name","Category","CO2_Emissions","Mass","Fuel_Type","Fuel_Mode","Engine_Capacity","Innovative_Technology","CO2_Reduction","Year"
"DK","DAIMLER AG","C 180","M1",125,1470,"petrol","M",1595,"",NA,2014
"DE","DAIMLER AG","E220CDI","M1",156,1735,"diesel","M",2143,NA,NA,2011
"PL","FIAT GROUP AUTOMOBILES SPA","955","M1",126,1245,"petrol","M",1368,NA,NA,2010
"AT","HONDA MOTOR CO","CR-Z 1,5I SPORT","M1",117,1245,"petrol","M",1497,NA,NA,2012
"DK","DAIMLER AG","SL 500","M1",214,1785,"petrol","M",4663,"",NA,2014
"ES","RENAULT","CAPTUR","M1",113,1176,"petrol","M",898,"",NA,2013
"HU","AUTOMOBILES CITROEN","C3 Picasso","M1",112,1280,"diesel","M",1560,"",NA,2013
"PL","AUTOMOBILES PEUGEOT","5008","M1",177,1694,"diesel","M",1997,NA,NA,2012
"GB","VOLVO","V40 SE LUX NAV T2","M1",124,1463,"petrol","M",1596,"",NA,2014
"DE","TOYOTA","TOYOTA PRIUS","M1",92,1440,"petrol","M",1798,"",NA,2013
"CZ","BMW AG","525 D XDRIVE","M1",138,1795,"diesel","M",1995,NA,NA,2012
"AT","JAGUAR LAND ROVER LIMITED","RANGE ROVER SPORT 3,0 SDV6 HSE","M1",199,2611,"diesel","M",2993,"",NA,2014
"NL","DAIMLER AG","C 63 AMG","M1",280,1730,"petrol","",6208,NA,NA,2012
"AT","DAIMLER AG","A 250","M1",143,1445,"petrol","M",1991,NA,NA,2012
"ES","FIAT GROUP","500","M1",97,1095,"diesel","M",1248,"",NA,2014
"NL","VOLKSWAGEN","SCIROCCO","M1",179,1393,"petrol","",1984,NA,NA,2010
"SK","VOLKSWAGEN","GOLF","M1",102,1337,"diesel","M",1598,"",NA,2014
"FR","AUTOMOBILES CITROEN","C5","M1",129,1742,"diesel","M",1560,"",NA,2013
"AT","SKODA","FABIA","M1",109,1224,"diesel","M",1598,"",NA,2014
"SI","OPEL","MOKKA / 1.4 / TURBO LPG","M1",142,1450,"lpg","B",1364,"",NA,2014
"DE","DAIMLER AG","CLS250CDI","M1",140,1975,"petrol","M",2143,"",NA,2013
"IT","AUTOMOBILES PEUGEOT","","M1",129,1412,"diesel","M",1560,NA,NA,2010
"IT","VOLKSWAGEN","","M1",144,1067,"petrol","M",999,NA,NA,2011
"NL","AUTOMOBILES CITROEN","C4","M1",159,1292,"petrol","",1598,NA,NA,2010
"ES","KIA","SPORTAGE","M1",149,1600,"","",1995,"",NA,2013
"SE","AUTOMOBILES CITROEN","DS4","M1",149,1359,"petrol","M",1598,NA,NA,2011
"PL","OPEL","INSIGNIA","M1",169,1503,"petrol","M",1796,"",NA,2013
"ES","BMW AG","COOPER","M1",166,1410,"petrol","M",1598,NA,NA,2011
"SK","RENAULT","TRAFIC","M1",203,1976,"diesel","M",1995,NA,NA,2011
"DE","BAYERISCHE MOTOREN WERKE AG","3er Reihe","M1",184,1630,"petrol","M",2996,NA,NA,2010
"RO","SKODA","OCTAVIA","M1",99,1327,"diesel","M",1598,"",NA,2014
"CY","TOYOTA","TOYOTA YARIS HYBRID","M1",79,1160,"","B",NA,"",NA,2014
"GB","KIA","PICANTO STRIKE AUTO","M1",137,1025,"petrol","M",1086,NA,NA,2010
"SI","GM KOREA","CRUZE / 1.6 / 16V","M1",151,1472,"petrol","M",1598,"",NA,2014
"DE","TOYOTA","TOYOTAYARIS","M1",124,1140,"petrol","M",1329,NA,NA,2011
"DE","OPEL","ASTRASPORTSTOURER","M1",144,1550,"petrol","M",1364,NA,NA,2012
"FR","DAIMLER AG","CLASSE A","M1",142,1355,"diesel","M",1991,NA,NA,2010
"BE","AUDI AG","A3","M1",99,1305,"diesel","M",1598,"",NA,2013
"LU","KIA","SOUL","M1",176,1391,"petrol","M",1591,"",NA,2014
"SI","DAIMLER AG","B / 180 /","M1",144,1395,"petrol","M",1595,NA,NA,2012
"RO","VOLKSWAGEN","GOLF","M1",106,1373,"diesel","M",1968,"",NA,2014
"NL","RENAULT","MEGANE SCENIC","M1",105,1547,"diesel","M",1461,"",NA,2014
"BE","VOLKSWAGEN","CADDY","M1",136,1618,"diesel","M",1598,NA,NA,2012
"GB","OPEL","ASTRA SRI CDTI 123","M1",122,1503,"diesel","M",1686,NA,NA,2011
"IE","VOLKSWAGEN","VOLKSWAGEN","M1",139,1050,"petrol","M",NA,NA,NA,2011
"IT","AUTOMOBILES PEUGEOT","208","M1",98,1150,"diesel","M",1560,"",NA,2013
"LV","TOYOTA","IS 300H","M1",109,1695,"petrol","M",2494,"",NA,2014
"FI","OPEL","CORSA","M1",120,1141,"petrol","M",1398,"",NA,2014
"DE","VOLKSWAGEN","TOURAN","M1",151,1584,"diesel","M",1968,NA,NA,2012
"AT","RENAULT","MEGANE SCENIC","M1",140,1581,"petrol","M",1197,NA,NA,2012
"HU","FUJI HEAVY INDUSTRIES LTD","LEGACY","M1",167,1646,"diesel","M",1998,NA,NA,2010
"DE","VOLVO","XC60","M1",183,1793,"diesel","M",2400,NA,NA,2010
"BE","FIAT GROUP AUTOMOBILES SPA","FIAT PUNTO","M1",112,1180,"diesel","M",1248,NA,NA,2012
"DE","VOLVO","XC70","M1",269,1843,"petrol","M",2953,NA,NA,2010
"IT","DAIMLER AG","C 350 CDI","M1",159,1760,"diesel","M",2987,NA,NA,2012
"GB","OUT OF SCOPE","FIESTA FREESTYLE","M1",NA,NA,"petrol","M",1242,NA,NA,2010
"DE","VOLKSWAGEN","PASSAT","M1",136,1618,"diesel","M",1968,"",NA,2013
"GR","FIAT GROUP AUTOMOBILES SPA","FIAT PUNTO","M1",135,1090,"petrol","M",1242,NA,NA,2011
"DE","OPEL","Insignia Sports Tourer","M1",179,1733,"diesel","M",1956,NA,NA,2010
"AT","RENAULT","CLIO","M1",119,1196,"petrol","M",1149,NA,NA,2011
"DE","BMW AG","JCWPACEMAN","",157,1480,"petrol","M",1598,NA,NA,2012
"BE","AUDI AG","Q7","M1",195,2375,"diesel","M",2967,"",NA,2013
"FI","OPEL","INSIGNIA SPORTS TOURER SW","M1",134,1613,"petrol","M",1362,"",NA,2013
"SK","AUTOMOBILES CITROEN","CITROEN JUMPER","M1",193,2010,"diesel","M",2198,NA,NA,2010
"DE","VOLKSWAGEN","KOMBI","M1",211,1985,"diesel","M",1968,NA,NA,2010
"IT","AUTOMOBILES PEUGEOT","","M1",150,1213,"petrol","M",1360,NA,NA,2010
"DE","FORD WERKE GMBH","KA","M1",115,940,"petrol","M",1242,NA,NA,2012
"DE","OUT OF SCOPE","MUSTANGGTCOUPE","M1",284,1830,"petrol","M",4952,"",NA,2014
"GR","FORD-WERKE GMBH","Mondeo","M1",149,1505,"diesel","M",NA,NA,NA,2010
"EE","FORD WERKE GMBH","TRANSIT / TOURNEO","M1",197,2212,"diesel","M",2198,"",NA,2013
"DE","DAIMLER AG","C 200","M1",156,1505,"petrol","M",1796,"",NA,2014
"IT","MAZDA MOTOR CORPORATION","MAZDA 6","M1",143,1620,"diesel","M",2184,NA,NA,2010
"FI","DAIMLER AG","E 300 4MATIC","M1",184,1925,"petrol","M",3498,"",NA,2013
"BE","AUTOMOBILES PEUGEOT","208","M1",95,1243,"diesel","M",1560,"",NA,2014
"BE","OPEL","Corsa","M1",105,1259,"diesel","M",1248,NA,NA,2012
"BE","TOYOTA","CT200H","M1",94,1515,"petrol","M",1798,NA,NA,2012
"AT","VOLKSWAGEN","CADDY","M1",139,1522,"diesel","M",1598,"",NA,2014
"PL","FIAT GROUP AUTOMOBILES SPA","PUNTO","M1",139,1115,"lpg","B",1368,NA,NA,2010
"IT","AUDI AG","AUDI A3","M1",123,1345,"petrol","M",1197,NA,NA,2011
"HU","FORD WERKE GMBH","Mondeo","M1",129,1575,"diesel","M",1997,"",NA,2013
"LU","BMW AG","530D XDRIVE","M1",142,1885,"diesel","M",2993,"",NA,2014
"GB","OPEL","ASTRA VXR","M1",189,1613,"petrol","M",1998,"",NA,2013
"IT","OPEL","MERIVA","M1",121,1471,"lpg","B",1364,"",NA,2014
"GB","SKODA","FABIA SE PLUS TSI S-A","M1",124,1184,"petrol","M",1197,NA,NA,2012
"DE","VOLKSWAGEN","TIGUAN","M1",156,1522,"petrol","M",1390,"",NA,2013
"MT","KIA","SPORTAGE","M1",139,1490,"diesel","M",1685,"",NA,2013
"FR","BMW AG","328I XDRIVE","M1",157,1610,"petrol","M",1997,"",NA,2014
"CZ","BMW AG","320 D","M1",128,1505,"diesel","M",1995,NA,NA,2011
"PL","RENAULT","MEGANE","M1",145,1373,"petrol","M",1397,NA,NA,2011
"DE","OPEL","ASTRAGTC","M1",129,1571,"diesel","M",1956,NA,NA,2012
"DE","VOLKSWAGEN","TIGUAN","M1",139,1541,"diesel","M",1968,NA,NA,2012
"GB","SKODA","FABIA ELEGANCE TSI S-A","M1",124,1164,"petrol","M",1197,NA,NA,2011
"DE","UNKNOWN","A3","M1",135,1355,"diesel","M",1968,"",NA,2013
"FR","BMW AG","X5 XDRIVE30D","M1G",164,2145,"diesel","M",2993,"",NA,2014
"IT","RENAULT","MODUS","M1",138,1155,"petrol","M",1149,NA,NA,2010
"DE","RENAULT","MEGANE","M1",175,1465,"diesel","M",1995,NA,NA,2011
"ES","VOLKSWAGEN","GOLF","M1",125,1541,"diesel","M",1598,NA,NA,2011
"GB","LAND ROVER","DEFENDER 90 XS SW SWB","M1",266,1895,"diesel","M",2402,NA,NA,2010
"FR","DAIMLER AG","CLASSE G","M1",322,2550,"petrol","M",5461,NA,NA,2012
"EE","TOYOTA","AVENSIS","M1",161,1475,"petrol","M",1987,"",NA,2014
"BE","AUDI AG","A4 Avant","M1",129,1650,"diesel","M",1968,"",NA,2013
"PL","DAIMLER AG","C 200 CDI","M1",139,1575,"diesel","M",2143,NA,NA,2010
"SI","VOLKSWAGEN","GOLF PLUS / 2.0 / TDI AUT.","M1",144,1501,"diesel","M",1968,NA,NA,2012
"HU","HONDA MOTOR CO","Accord","M1",195,1629,"petrol","M",2354,NA,NA,2011
"LU","KIA","IX35","M1",200,1585,"petrol","M",1998,NA,NA,2010
"GB","BAYERISCHE MOTOREN WERKE AG","X5 XDRIVE 30D SE 5S A","M1",217,2150,"diesel","M",2993,NA,NA,2010
"DE","SEAT","EXEOST","M1",143,1565,"diesel","M",1968,NA,NA,2012
"DE","BMW AG","X5XDRIVE","M1G",NA,2305,"petrol-electric","M",1997,"",NA,2014
"BE","RENAULT","CLIO","M1",130,1062,"petrol","M",1149,"",NA,2014
"ES","UNKNOWN","SANDERO","M1",135,1050,"petrol","",1149,NA,NA,2010
"FI","AUTOMOBILES PEUGEOT","207","M1",137,1219,"petrol","M",1397,NA,NA,2011
"DE","DACIA","SANDERO","M1",155,1165,"petrol","M",1598,NA,NA,2012
"AT","RENAULT","MEGANE SCENIC","M1",105,1460,"diesel","M",1461,"",NA,2013
"PL","BENTLEY","MULSANNE","M1",393,2660,"petrol","M",6752,NA,NA,2012
"PL","GM KOREA","CRUZE","M1",155,1449,"petrol","M",1796,NA,NA,2011
"CZ","TOYOTA","URBAN CRUISER","M1",130,1335,"diesel","M",1364,NA,NA,2011
"GB","AUTOMOBILES PEUGEOT","207 SPORTIUM","M1",135,1274,"petrol","M",1397,NA,NA,2012
"AT","DACIA","LOGAN","M1",135,1151,"petrol","M",1149,"",NA,2014
"DE","AUDI AG","A8L","M1",171,2005,"diesel","M",2967,NA,NA,2012
"BE","NISSAN","NISSAN QASHQAI","M1",119,1621,"diesel","M",1598,"",NA,2013
"BG","SKODA","OCTAVIA","M1",123,1375,"diesel","M",NA,NA,NA,2012
"DE","DAIMLER AG","SL 350","M1",169,1685,"petrol","M",3498,"",NA,2013
"FR","VOLVO","S80","M1",151,1595,"diesel","M",1997,NA,NA,2010
"HU","FORD WERKE GMBH","Ka","M1",115,940,"petrol","M",1242,NA,NA,2012
"PL","SKODA","OCTAVIA","M1",119,1350,"diesel","M",1598,NA,NA,2012
"ES","BMW AG","COOPER","M1",109,1190,"petrol","M",1499,"",NA,2014
"SK","MAZDA","MAZDA 3","M1",157,1382,"petrol","M",1999,NA,NA,2012
"FI","AUDI AG","AUDI A4 ALLROAD QUATTRO","M1",164,1705,"diesel","M",1968,NA,NA,2010
"FR","AUTOMOBILES PEUGEOT","407","M1",129,1596,"diesel","M",1560,NA,NA,2010
"BG","AUTOMOBILES CITROEN","DS 3","",176,1240,"","",NA,NA,NA,2010
"DE","OPEL","Corsa","M1",114,1235,"diesel","M",1248,NA,NA,2010
"CZ","BMW AG","X5 XDRIVE 30D","M1",195,2150,"diesel","M",2993,NA,NA,2012
"IT","AUDI AG","A3","M1",125,1470,"diesel","M",1968,"",NA,2013
"DE","BMW AG","740LDXDRI","M1",139,2007,"diesel","M",2993,"",NA,2013
"SI","VOLKSWAGEN","JETTA / 1.6 / TDI AUT.","M1",123,1412,"diesel","M",1598,NA,NA,2012
"CZ","BAYERISCHE MOTOREN WERKE AG","320D XDRIVE","M1",146,1665,"diesel","M",1995,NA,NA,2010
"DE","DAIMLER AG","VITO","M1",208,1995,"diesel","M",2143,"",NA,2013
"GB","FIAT GROUP","FIAT DOBLÊ","M1",138,1495,"diesel","M",1598,"",NA,2013
"PT","VOLKSWAGEN","SHARANN","M1",152,1842,"diesel","M",1968,NA,NA,2011
"HU","AUDI AG","Q5 Hybrid","M1",159,1985,"petrol","M",1984,NA,NA,2012
"FR","DAIMLER AG","S65 AMG","M1",346,2270,"petrol","M",5980,NA,NA,2010
"SI","DAIMLER AG","C / 220 / CDI","M1",135,1610,"diesel","M",2143,NA,NA,2011
"CZ","VOLKSWAGEN","CC","M1",147,1512,"petrol","M",1390,"",NA,2014
"EE","MITSUBISHI MOTORS CORPORATION MMC","OUTLANDER","M1",193,1640,"petrol","M",2360,NA,NA,2010
"SK","RENAULT","FLUENCE","M1",155,1280,"petrol","M",1598,"",NA,2014
"RO","AUDI AG","A7 SPORTBACK","M1",156,1860,"diesel","M",2967,"",NA,2013
"MT","BMW AG","","",137,1700,"diesel","",NA,NA,NA,2011
"DE","OPEL","ASTRA","M1",138,1471,"petrol","M",1364,NA,NA,2012
"GB","DAIMLER AG","FORTWO PASSION AUTO","M1",115,875,"petrol","M",999,NA,NA,2010
"AT","SEAT","IBIZA ST","M1",119,1145,"petrol","M",1197,"",NA,2014
"DE","DAIMLER AG","E220BLUETEC","M1",124,1795,"diesel","M",2143,"",NA,2013
"FI","AUDI AG","S4","M1",224,1825,"petrol","M",2995,NA,NA,2010
"GB","VOLKSWAGEN","GOLF GTI S-A","M1",173,1414,"petrol","M",1984,NA,NA,2011
"DE","DAIMLER AG","C 200","M1",155,1565,"petrol","M",1796,"",NA,2013
"ES","HYUNDAI","I40","M1",159,1734,"diesel","M",1685,"",NA,2014
"ES","KIA","OPTIMA","M1",125,1662,"petrol","M",1999,NA,NA,2012
"SE","HYUNDAI","I 30 CW","M1",119,1420,"diesel","M",1582,NA,NA,2011
"GB","BMW AG","320D","M1",124,1585,"diesel","M",1995,"",NA,2014
"PT","BMW AG","750D XDRIVE","M1",169,2070,"diesel","M",2993,"",NA,2013
"GB","VOLKSWAGEN","TIGUAN SE TSI 4MOTION 180","M1",199,1644,"petrol","M",1984,NA,NA,2012
"PL","VOLKSWAGEN","GOLF","M1",115,1229,"petrol","M",1197,"",NA,2013
"DK","VOLKSWAGEN","PASSAT CC","M1",167,1529,"petrol","M",1798,NA,NA,2011
"FR","HYUNDAI CZECH","IX 35","M1",149,1754,"diesel","M",1995,"",NA,2014
"BE","VOLVO","S80","M1",159,1749,"diesel","M",2400,"",NA,2013
"DK","FORD WERKE GMBH","GRAND C-MAX","M1",139,1641,"diesel","M",1997,NA,NA,2012
"RO","DACIA","LOGAN","M1",103,1177,"diesel","M",1461,"",NA,2013
"GB","OPEL","CORSA DESIGN AUTO","M1",147,1188,"petrol","M",1398,"",NA,2014
"GB","TOYOTA","AURIS TR VALVEMATIC S-A","M1",146,1375,"petrol","M",1598,NA,NA,2011
"PL","VOLKSWAGEN","CRAFTER","M1",218,2356,"diesel","M",1968,"",NA,2013
"FI","BMW AG","120D","M1",116,1440,"diesel","M",1995,NA,NA,2012
"PL","TOYOTA","RAV4","M1",177,1695,"diesel","M",2231,NA,NA,2012
"DE","SKODA","FABIA","M1",124,1164,"petrol","M",1197,"",NA,2014
"MT","SKODA","FABIA","M1",128,1550,"petrol","M  ",NA,NA,NA,2012
"FI","SKODA","SUPERB","M1",166,1667,"diesel","M",1968,"",NA,2013
"NL","VOLKSWAGEN","CADDY","M1",147,1436,"petrol","",1197,NA,NA,2012
"DK","VOLKSWAGEN","PASSAT","M1",120,1571,"diesel","M",1968,NA,NA,2012
"DE","AUDI AG","A1 SPORTBACK","M1",122,1225,"petrol","M",1390,"",NA,2013
"HU","SKODA","OCTAVIA","M1",147,1345,"petrol","M",1390,"",NA,2013
"PL","DACIA","LOGAN","M1",180,1304,"petrol","M",1598,NA,NA,2010
"ES","DAIMLER AG","E320CDI","M1",202,1750,"diesel","",2987,NA,NA,2010
"AT","HYUNDAI","SANTA FE","M1",155,1938,"diesel","M",2199,"",NA,2014
"IT","MAZDA","MAZDA CX-5","M1",136,1663,"diesel","M",2191,"",NA,2013
"DE","BMW AG","225I","",149,1440,"petrol","M",2495,NA,NA,2012
"BE","TOYOTA","TOYOTA COROLLA","M1",125,1373,"diesel","M",1364,NA,NA,2011
"LV","TOYOTA","GS 250","M1",209,1759,"petrol","M",2500,"",NA,2014
"SI","RENAULT","CLIO","M1",127,1105,"petrol","M",1149,"",NA,2014
"ES","TOYOTA","YARIS","M1",111,1045,"","",998,"",NA,2013
"IE","VOLKSWAGEN","VOLKSWAGEN","M1",136,1350,"petrol","M",NA,NA,NA,2010
"GB","AUTOMOBILES CITROEN","C4 PICASSO EXCL AIRDREAM E-HDI","M1",105,1373,"diesel","M",1560,"",NA,2014
"DE","OPEL","INSIGNIALIMOUSINEHB","M1",179,1571,"petrol","M",1796,NA,NA,2011
"DE","VOLKSWAGEN","GOLF","M1",134,1545,"diesel","M",1968,"",NA,2014
"PT","VOLKSWAGEN","POLO CR","M1",109,1157,"diesel","M",1598,NA,NA,2010
"AT","VOLKSWAGEN","BEETLE","M1",169,1391,"petrol","M",1984,"",NA,2014
"FR","VOLVO","S80","M1",154,1634,"diesel","M",1984,NA,NA,2011
"CY","GM KOREA","CHEVROLRT AVEO","M1",159,1266,"petrol","M",NA,NA,NA,2011
"GR","KIA","ED ή cee""d","M1",124,1338,"petrol","M",NA,NA,NA,2010
"DE","VOLKSWAGEN","CADDY","M1",149,1540,"diesel","M",1598,NA,NA,2012
"DE","SKODA","YETI","M1",140,1415,"diesel","M",1968,NA,NA,2012
"GR","VOLKSWAGEN","TOURAN","M1",159,1516,"petrol","M",1390,"",NA,2013
"IT","DAIMLER AG","A 160 CDI","M1",118,1325,"diesel","M",1991,NA,NA,2010
"GR","VOLKSWAGEN","POLO","M1",124,1088,"petrol","M",NA,NA,NA,2011
"DE","VOLKSWAGEN","MULTIVAN STARTLINE","M1",219,2187,"diesel","M",1968,"",NA,2014
"LU","AUDI AG","S5","M1",199,1955,"petrol","M",2995,NA,NA,2012
"SE","OPEL","ASTRA SPORTS TOURER","M1",144,1571,"petrol","M",1362,NA,NA,2012
"DK","FORD WERKE GMBH","B-MAX","M1",114,1279,"petrol","M",998,"",NA,2014
"GB","FORD WERKE GMBH","MONDEO TITANIUM TURBO","M1",149,1565,"petrol","M",1596,NA,NA,2012
"DK","AUTOMOBILES CITROEN","BERLINGO","M1",133,1658,"diesel","M",1560,NA,NA,2010
"BG","VOLVO","XC 60","M1",169,1792,"diesel","M",2400,"",NA,2014
"DE","AUDI AG","S8","M1",235,2050,"petrol","M",3993,"",NA,2013
"DE","OPEL","MERIVA","M1",138,1571,"diesel","M",1686,NA,NA,2011
"ES","AUTOMOBILES PEUGEOT","207","M1",119,1363,"diesel","M",1560,NA,NA,2012
"NL","AUTOMOBILES CITROEN","C4 PICASSO","M1",132,1505,"diesel","",1560,NA,NA,2011
"GB","BAYERISCHE MOTOREN WERKE AG","ONE GRAPHITE AUTO","M1",155,1175,"petrol","M",1397,NA,NA,2010
"FI","VOLVO","S60","M1",114,1635,"diesel","M",1560,"",NA,2013
"DE","VOLKSWAGEN","GOLF","M1",102,1337,"diesel","M",1598,"",NA,2014
"IT","SEAT","MII","M1",103,932,"petrol","M",999,"",NA,2013
"SE","AA-IVA","","M1",232,1813,"e85","F",2521,NA,NA,2011
"BE","DAIMLER AG","E 220 CDI","M1",129,1715,"diesel","M",2143,"",NA,2013
"DE","SEAT","LEON","M1",190,1450,"petrol","M",1984,"",NA,2013
"GB","OPEL","INSIGNIA EXCLUSIV NAV CDTI A","M1",155,1733,"diesel","M",1956,NA,NA,2012
"GB","BMW AG","520D","M1",114,1695,"diesel","M",1995,"",NA,2014
"GB","HYUNDAI","I800 STYLE CRDI","M1",225,2250,"diesel","M",2497,NA,NA,2012
"ES","NISSAN","QASHQAI","M1",149,1553,"petrol","M",1598,NA,NA,2011
"GB","LAND ROVER","RANGE ROVER EVOQUE PURE SD4 A","M1",174,1840,"diesel","M",2179,NA,NA,2011
"BG","DACIA","LODGY","M1",161,1319,"petrol","M",1598,"",NA,2014
"DE","BAYERISCHE MOTOREN WERKE AG","1er Reihe","M1",118,1370,"diesel","M",1995,NA,NA,2010
"EE","AUTOMOBILES PEUGEOT","5008","M1",132,1699,"diesel","M",1560,"",NA,2013
"AT","BAYERISCHE MOTOREN WERKE AG","520D LIMOUSINE E60 N47","M1",149,1595,"diesel","M",1995,NA,NA,2010
"GB","VOLVO","V60 R-DESIGN LUX NAV T6 AWD A","M1",237,1822,"petrol","M",2953,"",NA,2013
"DE","SEAT","ALTEA","M1",152,1439,"petrol","M",1390,NA,NA,2011
"SI","NISSAN","NOTE / 1.6 /","M1",149,1182,"petrol","M",1598,NA,NA,2011
"BE","FIAT GROUP AUTOMOBILES SPA","ALFA MITO","M1",104,1290,"diesel","M",1248,NA,NA,2010
"DE","FIAT GROUP","FIAT PUNTO","M1",133,1150,"petrol","M",1368,"",NA,2013
"DE","FORD WERKE GMBH","TRANSIT/TOURNEO","M1",192,2277,"diesel","M",2198,NA,NA,2012
"AT","SKODA","OCTAVIA","M1",97,1412,"ng-biomethane","B",1395,"",NA,2014
"LV","DAIMLER AG","CLS 350","M1",176,1970,"diesel","M",2987,"",NA,2014
"FR","RENAULT","MODUS","M1",139,1225,"petrol","M",1149,NA,NA,2010
"LU","RENAULT","KANGOO","M1",135,1505,"diesel","M",1461,"",NA,2013
"MT","SKODA","","",149,1340,"petrol","",NA,NA,NA,2011
"SE","FORD WERKE GMBH","MONDEO","M1",139,1625,"diesel","M",1997,NA,NA,2011
"HR","NISSAN","MICRA","M1",99,1060,"petrol","M",1198,"",NA,2014
"SE","FORD WERKE GMBH","MONDEO","M1",149,1660,"diesel","M",1997,"",NA,2013
"BE","BMW AG","320D XDRIVE","M1",125,1595,"diesel","M",1995,"",NA,2013
"MT","GM DAEWOO AUTO U TECH COMP","MATIZ","",133,870,"petrol","",995,NA,NA,2010
"GB","RENAULT","TRAFIC","M1",198,1976,"diesel","M",1995,NA,NA,2012
"PL","SKODA","YETI","M1",189,1505,"petrol","M",1798,NA,NA,2011
"DE","UNKNOWN","S400BLUETEC","",164,2075,"diesel","M",2987,NA,NA,2012
"DE","AUTOMOBILES CITROEN","C4 PICASSO","M1",132,1625,"diesel","M",1560,"",NA,2013
"IT","OPEL","ASTRA SPORT TOURER","M1",119,1613,"lpg","B",1364,"",NA,2014
"GB","AUDI AG","A5 S LINE SPECIAL EDITION TFSI","M1",148,1705,"petrol","M",1984,"",NA,2014
"DE","DAIMLER AG","SL400","M1",178,1730,"petrol","M",2996,"",NA,2014
"DK","SKODA","FABIA","M1",121,1116,"petrol","M",1197,NA,NA,2010
"GB","OPEL","INSIGNIA SRI CDTI ECOFLEX S/S","M1",114,1701,"diesel","M",1956,NA,NA,2012
"MT","SEAT","IBIZA","M1",125,1049,"petrol","M  ",NA,NA,NA,2012
"BE","BMW AG","118D","M1",118,1390,"diesel","M",1995,"",NA,2013
"LU","TOYOTA","AURIS","M1",93,1455,"electric","B",1798,NA,NA,2011
"PL","Out of scope","KA","M1",119,940,"petrol","M",1242,NA,NA,2011
"DE","AUDI AG","A5CABRIOLET","M1",138,1835,"diesel","M",2967,NA,NA,2012
"SK","VOLKSWAGEN","TIGUAN","M1",138,1612,"diesel","M",1968,"",NA,2014
"NL","AUDI AG","AUDI A4 ALLROAD QUATTRO","M1",189,1725,"petrol","",1984,NA,NA,2011
"IE","AUDI AG","A3","M1",116,1395,"diesel","M",1968,"",NA,2014
"DE","RENAULT","CLIO","M1",133,1120,"petrol","M",1149,NA,NA,2010
"NL","SEAT","LEON ST","M1",106,1358,"diesel","M",1968,"",NA,2014
"SK","RENAULT","TRAFIC","M1",198,2068,"diesel","M",1995,NA,NA,2011
"BE","AUDI AG","A1 Sportback","M1",126,1200,"petrol","M",1390,"",NA,2013
"EE","CHRYSLER","WRANGLER UNLIMITED","M1G",230,2073,"diesel","M",2776,"",NA,2014
"GB","FIAT GROUP AUTOMOBILES SPA","QUBO","M1",115,1275,"diesel","M",1248,NA,NA,2011
"GB","VOLVO","S60 ES NAV D4","M1",114,1646,"diesel","M",1984,NA,NA,2012
"MT","NISSAN","QASHQAI","M1",137,1930,"diesel","M",NA,NA,NA,2012
"NL","DAIMLER AG","C 220 CDI","M1",133,1615,"diesel","",2143,NA,NA,2012
"DE","VOLKSWAGEN","POLO","M1",115,1104,"petrol","M",1197,"",NA,2013
"AT","DAIMLER AG","E 350 BLUETEC 4MATIC","M1",173,2035,"diesel","M",2987,"",NA,2014
"PL","DACIA","LOGAN","M1",99,1204,"diesel","M",1461,"",NA,2014
"DE","DAIMLER AG","SLK250CDI","M1",132,1590,"diesel","M",2143,NA,NA,2012
"PL","NISSAN","NV200","M1",275,1550,"diesel","M",1461,NA,NA,2011
"HU","SKODA","RAPID","M1",114,1265,"diesel","M",1598,"",NA,2013
"FR","VOLVO","S80","M1",167,1832,"diesel","M",2400,NA,NA,2012
"GB","CHRYSLER","WRANGLER UNLIMITED","M1G",217,2073,"diesel","M",2776,"",NA,2013
"CZ","GM KOREA","CAPTIVA","M1",219,1933,"petrol","M",2384,"",NA,2013
"PL","HONDA MOTOR CO","ACCORD","M1",141,1657,"diesel","M",2199,NA,NA,2011
"DE","SAAB AUTOMOBILE AB","Saab 9-3","M1",182,1770,"diesel","M",1910,NA,NA,2010
"GB","MAZDA","2 TS","M1",119,1072,"petrol","M",1349,NA,NA,2011
"AT","DAIMLER AG","C 250 CDI 4MATIC","M1",151,1735,"diesel","M",2143,"",NA,2013
"GB","DAIMLER AG","VIANO AMBIENTE 2.2 CDI BLUE-CY","M1",216,2285,"diesel","M",2143,NA,NA,2011
"SK","SEAT","IBIZA","M1",119,1090,"petrol","M",1197,"",NA,2014
"PL","DAIMLER AG","CLA 180","M1",128,1395,"petrol","M",1595,"",NA,2013
"BE","BMW AG","COOPER D ALL4","M1",123,1455,"diesel","M",1598,"",NA,2014
"GB","DAIMLER AG","E220 SPORT CDI BLUEEF-CY S/S A","M1",143,1845,"diesel","M",2143,NA,NA,2012
"SE","HYUNDAI","IX35","M1",139,1504,"diesel","M",1685,NA,NA,2012
"LT","SEAT","IBIZA","M1",124,1115,"petrol","M",1197,"",NA,2013
"HU","SSANGYONG","Ssangyong Rexton","M1",196,2065,"diesel","M",1998,"",NA,2013
"GB","AUDI AG","Q5 TDI QUATTRO DPF","M1",175,1820,"diesel","M",1968,NA,NA,2010
"SK","DAIMLER AG","CLA 180","M1",125,1430,"petrol","M",1595,"",NA,2014
